ref_ID,ref_long,geo_entity_ref,type,subset,taxon_ID,taxon_name,checklist,native_indicated,natural_indicated,end_ref,traits,restricted,proc_date
124,"Panitsa, Bazos, Dimopoulos, Zervou, Yannitsaros & Tzanoudakis (2004) Contribution to the Study of the Flora and Vegetation of the Kithira Island Group. Willdenowia 34, 101-115.",Offshore Islets of Kithira,Catalogue,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
126,Ogle (unpublished) Checklist of vascular plants of Sugar Loaf Islands.,Sugar Loaf Islands,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
128,"Lange & Cameron (1999) The vascular flora of Aorangi Island, Poor Knights Islands, northern New Zealand. New Zealand journal of botany 37, 433–468.",Aorangi,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
129,"Kelly (2006) The vascular flora of Huggins Island, Onslow County, North Carolina. Castanea 71, 295–311.",Huggins Island,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
130,"Hill (1986) An annotated checklist of the vascular flora of Assateague Island (Maryland and Virginia). Castanea 51, 265–305.",Assateague Island,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
138,"Easley & Judd (1993) Vascular Flora of Little Talbot Island, Duval County, Florida. Castanea 58, 162-177.",Little Talbot Island,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
139,"Dowhan & Rozsa (1989) Flora of Fire Island, Suffolk County, New York. Bulletin of the Torrey Botanical Club 116, 265–282.",Fire Island,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
140,"Sloover & Liégeois (1997) Eagle Island Flora and Vegetation (Queensland, Australia). Bulletin du Jardin Botanique National de Belgique 66, 347-383.",Eagle Island,Flora,all,6,Angiospermae,1,1,0,0,0,0,9999-12-31
141,"Esler (1978) Botanical features of the Mokohinau Islands. TANE 24, 187–197.",Mokohinau Islands,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
148,"Butler, Barclay & Fisher (1999) Plant communities and flora of Robins Island (Long Island), New York. Journal of the Torrey Botanical Society 126, 63–76.",Robins Island,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
149,"Brofas, Karetsos, Panitsa & Theocharopoulos (2001) The flora and vegetation of Gyali Island, SE Aegean, Greece. Willdenowia 31, 51–70.",Gyali Island,Flora,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
150,"Abe (2006) Threatened pollination systems in native flora of the Ogasawara (Bonin) Islands. Annals of Botany (London) 98, 317.",Bonin,Checklist,native,6,Angiospermae,1,1,0,1,0,0,9999-12-31
151,"Cheffings & Farrell (eds.) (2005) The vascular plant red data list for Great Britain. Joint Nature Conservation Committee, Peterborough, UK, 1-116p.",Great Britain,Red list,native,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
152,"Byrd (1984) Vascular vegetation of Buldir Island, Aleutian Islands, Alaska, compared to another Aleutian Island. Arctic 37, 37-48.",Buldir,Survey,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
162,"Clapp & Sibley (1971) The vascular flora and terrestrial vertebrates of Vostok Island, South-Central Pacific. Atoll Research Bulletin 144, 1–10.",Vostok,Flora,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
163,"D'Arcy (1971) The island of Anegada and its flora. Atoll Research Bulletin 139, 1–21.",Anegada,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
